Codigo;Faixa;Nome;Potencia_kWp;Qtd_Modulos;Fabricante_Modulos;Potencia_Modulo_W;Tecnologia_Modulo;Eficiencia_Modulo;Inversor;Tipo_Inversor;Garantia_Modulos_Anos;Garantia_Inversor_Anos;Preco;Consumo_Min_kWh;Consumo_Max_kWh;Fornecedor;Link_B2B
KIT-RES-PEQ-01;residencial_pequeno;"Kit Solar On-Grid 1.65 kWp Deye + 3x Placas Jinko 550W";1.65;3;Jinko Solar;550;Monocristalino N-Type;21.8;Deye SUN-1.6K-G;String On-Grid;25;10;2980.00;150;250;Aldo Solar;https://www.aldosolar.com.br/geradores/microgeracao-ongrid/growatt
KIT-RES-PEQ-02;residencial_pequeno;"Kit Solar On-Grid 2.20 kWp Growatt + 4x Placas Canadian 550W";2.20;4;Canadian Solar;550;Monocristalino TOPCon;22.0;Growatt MIC 2000TL-X;String On-Grid;25;10;3650.00;200;320;Aldo Solar;https://www.aldosolar.com.br/geradores/microgeracao-ongrid/growatt
KIT-RES-PEQ-03;residencial_pequeno;"Kit Solar On-Grid 2.75 kWp Deye + 5x Placas Risen 550W";2.75;5;Risen Energy;550;Monocristalino N-Type;21.9;Deye SUN-3K-G;String On-Grid;25;10;4200.00;280;400;Sou Energy;https://www.souenergy.com.br/produtos/geradores
KIT-RES-PEQ-04;residencial_pequeno;"Kit Solar On-Grid 3.30 kWp Growatt + 6x Placas Jinko 550W";3.30;6;Jinko Solar;550;Monocristalino N-Type;22.0;Growatt MIN 3000TL-X;String On-Grid;25;10;4890.00;320;480;Aldo Solar;https://www.aldosolar.com.br/geradores/microgeracao-ongrid/growatt
KIT-RES-PEQ-05;residencial_pequeno;"Kit Solar On-Grid 3.85 kWp Deye + 7x Placas Canadian 550W";3.85;7;Canadian Solar;550;Monocristalino TOPCon;22.0;Deye SUN-3.6K-G;String On-Grid;25;10;5450.00;380;560;Sou Energy;https://www.souenergy.com.br/produtos/geradores
KIT-RES-PEQ-06;residencial_pequeno;"Kit Solar On-Grid 4.40 kWp Growatt + 8x Placas Risen 550W";4.40;8;Risen Energy;550;Monocristalino N-Type;21.9;Growatt MIN 4200TL-X;String On-Grid;25;10;5990.00;420;620;Aldo Solar;https://www.aldosolar.com.br/geradores/microgeracao-ongrid/growatt
KIT-RES-PEQ-07;residencial_pequeno;"Kit Solar On-Grid 1.65 kWp Solis + 3x Placas JA Solar 550W";1.65;3;JA Solar;550;Monocristalino N-Type;21.8;Solis Mini 1500-4G;String On-Grid;25;10;2890.00;150;240;Sou Energy;https://www.souenergy.com.br/produtos/geradores
KIT-RES-PEQ-08;residencial_pequeno;"Kit Solar On-Grid 2.20 kWp Solis + 4x Placas Jinko 550W";2.20;4;Jinko Solar;550;Monocristalino TOPCon;22.0;Solis Mini 2000-4G;String On-Grid;25;10;3500.00;200;310;Sou Energy;https://www.souenergy.com.br/produtos/geradores
KIT-RES-PEQ-09;residencial_pequeno;"Kit Solar On-Grid 3.30 kWp Solis + 6x Placas Canadian 550W";3.30;6;Canadian Solar;550;Monocristalino N-Type;22.0;Solis S6-GR1P3K;String On-Grid;25;10;4700.00;310;470;Sou Energy;https://www.souenergy.com.br/produtos/geradores
KIT-RES-PEQ-10;residencial_pequeno;"Kit Solar On-Grid 4.40 kWp Deye + 8x Placas Jinko 550W";4.40;8;Jinko Solar;550;Monocristalino TOPCon;22.0;Deye SUN-4K-G;String On-Grid;25;10;5800.00;420;600;Aldo Solar;https://www.aldosolar.com.br/geradores/microgeracao-ongrid/growatt
KIT-RES-GRA-01;residencial_grande;"Kit Solar On-Grid 5.50 kWp Growatt + 10x Placas Jinko 550W";5.50;10;Jinko Solar;550;Monocristalino N-Type;22.0;Growatt MIN 5000TL-X;String On-Grid;25;10;7200.00;520;780;Aldo Solar;https://www.aldosolar.com.br/geradores/microgeracao-ongrid/growatt
KIT-RES-GRA-02;residencial_grande;"Kit Solar On-Grid 6.60 kWp Deye + 12x Placas Canadian 550W";6.60;12;Canadian Solar;550;Monocristalino TOPCon;22.0;Deye SUN-6K-G;String On-Grid;25;10;8400.00;620;920;Sou Energy;https://www.souenergy.com.br/produtos/geradores
KIT-RES-GRA-03;residencial_grande;"Kit Solar On-Grid 7.70 kWp Growatt + 14x Placas Risen 550W";7.70;14;Risen Energy;550;Monocristalino N-Type;21.9;Growatt MIN 6000TL-X;String On-Grid;25;10;9500.00;740;1080;Aldo Solar;https://www.aldosolar.com.br/geradores/microgeracao-ongrid/growatt
KIT-RES-GRA-04;residencial_grande;"Kit Solar On-Grid 8.80 kWp Deye + 16x Placas Jinko 550W";8.80;16;Jinko Solar;550;Monocristalino TOPCon;22.0;Deye SUN-8K-G;String On-Grid;25;10;10600.00;850;1240;Sou Energy;https://www.souenergy.com.br/produtos/geradores
KIT-RES-GRA-05;residencial_grande;"Kit Solar On-Grid 9.90 kWp Growatt + 18x Placas Canadian 550W";9.90;18;Canadian Solar;550;Monocristalino N-Type;22.0;Growatt MOD 10KTL3-X;String On-Grid Trifásico;25;10;12200.00;950;1400;Aldo Solar;https://www.aldosolar.com.br/geradores/microgeracao-ongrid/growatt
KIT-RES-GRA-06;residencial_grande;"Kit Solar On-Grid 11.00 kWp Deye + 20x Placas Risen 550W";11.00;20;Risen Energy;550;Monocristalino N-Type;21.9;Deye SUN-10K-G;String On-Grid Trifásico;25;10;13400.00;1050;1550;Sou Energy;https://www.souenergy.com.br/produtos/geradores
KIT-RES-GRA-07;residencial_grande;"Kit Solar On-Grid 5.50 kWp Solis + 10x Placas Canadian 550W";5.50;10;Canadian Solar;550;Monocristalino N-Type;22.0;Solis S6-GR1P5K;String On-Grid;25;10;7100.00;500;760;Sou Energy;https://www.souenergy.com.br/produtos/geradores
KIT-RES-GRA-08;residencial_grande;"Kit Solar On-Grid 6.60 kWp Solis + 12x Placas Jinko 550W";6.60;12;Jinko Solar;550;Monocristalino TOPCon;22.0;Solis S6-GR1P6K;String On-Grid;25;10;8250.00;600;900;Sou Energy;https://www.souenergy.com.br/produtos/geradores
KIT-RES-GRA-09;residencial_grande;"Kit Solar On-Grid 8.80 kWp Fronius + 16x Placas Jinko 550W";8.80;16;Jinko Solar;550;Monocristalino N-Type;22.0;Fronius Primo 8.2-1;String On-Grid Premium;25;10;14500.00;850;1220;Aldo Solar;https://www.aldosolar.com.br/geradores/microgeracao-ongrid/growatt
KIT-RES-GRA-10;residencial_grande;"Kit Solar On-Grid 10.45 kWp Fronius + 19x Placas Canadian 550W";10.45;19;Canadian Solar;550;Monocristalino TOPCon;22.0;Fronius Symo 10.0-3;String On-Grid Trifásico;25;10;16900.00;1000;1450;Aldo Solar;https://www.aldosolar.com.br/geradores/microgeracao-ongrid/growatt
KIT-RES-GRA-11;residencial_grande;"Kit Solar On-Grid 12.10 kWp Growatt + 22x Placas Jinko 550W";12.10;22;Jinko Solar;550;Monocristalino N-Type;22.0;Growatt MOD 12KTL3-X;String On-Grid Trifásico;25;10;14200.00;1150;1700;Aldo Solar;https://www.aldosolar.com.br/geradores/microgeracao-ongrid/growatt
KIT-RES-GRA-12;residencial_grande;"Kit Solar On-Grid 7.15 kWp Deye + 13x Placas JA Solar 550W";7.15;13;JA Solar;550;Monocristalino N-Type;21.8;Deye SUN-7K-G;String On-Grid;25;10;9100.00;680;1000;Sou Energy;https://www.souenergy.com.br/produtos/geradores
KIT-RES-GRA-13;residencial_grande;"Kit Solar On-Grid 8.25 kWp Solis + 15x Placas Canadian 550W";8.25;15;Canadian Solar;550;Monocristalino TOPCon;22.0;Solis S6-GR1P8K-D;String On-Grid;25;10;10200.00;800;1150;Sou Energy;https://www.souenergy.com.br/produtos/geradores
KIT-RES-GRA-14;residencial_grande;"Kit Solar On-Grid 9.35 kWp Deye + 17x Placas Risen 550W";9.35;17;Risen Energy;550;Monocristalino N-Type;21.9;Deye SUN-9K-G;String On-Grid;25;10;11800.00;900;1300;Sou Energy;https://www.souenergy.com.br/produtos/geradores
KIT-RES-GRA-15;residencial_grande;"Kit Solar On-Grid 11.55 kWp Solis + 21x Placas Jinko 550W";11.55;21;Jinko Solar;550;Monocristalino TOPCon;22.0;Solis S6-GR3P10K;String On-Grid Trifásico;25;10;13900.00;1100;1600;Sou Energy;https://www.souenergy.com.br/produtos/geradores
KIT-COM-01;comercial;"Kit Comercial 16.50 kWp Growatt + 30x Placas Jinko 550W";16.50;30;Jinko Solar;550;Monocristalino N-Type;22.0;Growatt MID 15KTL3-X;String On-Grid Trifásico;25;10;17900.00;1500;2200;Aldo Solar;https://www.aldosolar.com.br/geradores/microgeracao-ongrid/growatt
KIT-COM-02;comercial;"Kit Comercial 22.00 kWp Deye + 40x Placas Canadian 550W";22.00;40;Canadian Solar;550;Monocristalino TOPCon;22.0;Deye SUN-20K-G;String On-Grid Trifásico;25;10;22400.00;2000;3000;Sou Energy;https://www.souenergy.com.br/produtos/geradores
KIT-COM-03;comercial;"Kit Comercial 27.50 kWp Growatt + 50x Placas Risen 550W";27.50;50;Risen Energy;550;Monocristalino N-Type;21.9;Growatt MID 25KTL3-X;String On-Grid Trifásico;25;10;26900.00;2500;3800;Aldo Solar;https://www.aldosolar.com.br/geradores/microgeracao-ongrid/growatt
KIT-COM-04;comercial;"Kit Comercial 33.00 kWp Deye + 60x Placas Jinko 550W";33.00;60;Jinko Solar;550;Monocristalino TOPCon;22.0;Deye SUN-30K-G;String On-Grid Trifásico;25;10;31500.00;3000;4500;Sou Energy;https://www.souenergy.com.br/produtos/geradores
KIT-COM-05;comercial;"Kit Comercial 38.50 kWp Growatt + 70x Placas Canadian 550W";38.50;70;Canadian Solar;550;Monocristalino N-Type;22.0;Growatt MID 36KTL3-X;String On-Grid Trifásico;25;10;36200.00;3500;5300;Aldo Solar;https://www.aldosolar.com.br/geradores/microgeracao-ongrid/growatt
KIT-COM-06;comercial;"Kit Comercial 44.00 kWp Deye + 80x Placas Risen 550W";44.00;80;Risen Energy;550;Monocristalino N-Type;21.9;Deye SUN-40K-G;String On-Grid Trifásico;25;10;41200.00;4000;6000;Sou Energy;https://www.souenergy.com.br/produtos/geradores
KIT-COM-07;comercial;"Kit Comercial 19.80 kWp Solis + 36x Placas Jinko 550W";19.80;36;Jinko Solar;550;Monocristalino TOPCon;22.0;Solis S6-GR3P15K;String On-Grid Trifásico;25;10;19800.00;1800;2700;Sou Energy;https://www.souenergy.com.br/produtos/geradores
KIT-COM-08;comercial;"Kit Comercial 24.20 kWp Solis + 44x Placas Canadian 550W";24.20;44;Canadian Solar;550;Monocristalino TOPCon;22.0;Solis S6-GR3P20K;String On-Grid Trifásico;25;10;23900.00;2200;3300;Sou Energy;https://www.souenergy.com.br/produtos/geradores
KIT-COM-09;comercial;"Kit Comercial 30.25 kWp Fronius + 55x Placas Jinko 550W";30.25;55;Jinko Solar;550;Monocristalino N-Type;22.0;Fronius Eco 27.0-3;String On-Grid Trifásico;25;10;38500.00;2700;4100;Aldo Solar;https://www.aldosolar.com.br/geradores/microgeracao-ongrid/growatt
KIT-COM-10;comercial;"Kit Comercial 35.75 kWp Solis + 65x Placas JA Solar 550W";35.75;65;JA Solar;550;Monocristalino N-Type;21.8;Solis S5-GR3P30K;String On-Grid Trifásico;25;10;33200.00;3200;4900;Sou Energy;https://www.souenergy.com.br/produtos/geradores
KIT-COM-11;comercial;"Kit Comercial 41.25 kWp Fronius + 75x Placas Canadian 550W";41.25;75;Canadian Solar;550;Monocristalino TOPCon;22.0;Fronius Tauro 50-3;String On-Grid Industrial;25;10;49800.00;3800;5600;Aldo Solar;https://www.aldosolar.com.br/geradores/microgeracao-ongrid/growatt
KIT-COM-12;comercial;"Kit Comercial 17.60 kWp Solis + 32x Placas Canadian 550W";17.60;32;Canadian Solar;550;Monocristalino TOPCon;22.0;Solis-3P15K-4G;String On-Grid Trifásico;25;10;18500.00;1600;2400;Sou Energy;https://www.souenergy.com.br/produtos/geradores
KIT-COM-13;comercial;"Kit Comercial 29.70 kWp Deye + 54x Placas Jinko 550W";29.70;54;Jinko Solar;550;Monocristalino TOPCon;22.0;Deye SUN-25K-G;String On-Grid Trifásico;25;10;28900.00;2650;4000;Sou Energy;https://www.souenergy.com.br/produtos/geradores
KIT-IND-01;industrial;"Kit Industrial 55.00 kWp Growatt + 100x Placas Jinko 550W";55.00;100;Jinko Solar;550;Monocristalino N-Type;22.0;Growatt MAX 50KTL3-LV;String On-Grid Trifásico;25;10;51000.00;5000;7500;Aldo Solar;https://www.aldosolar.com.br/geradores/microgeracao-ongrid/growatt
KIT-IND-02;industrial;"Kit Industrial 66.00 kWp Deye + 120x Placas Canadian 550W";66.00;120;Canadian Solar;550;Monocristalino TOPCon;22.0;Deye SUN-60K-G;String On-Grid Trifásico;25;10;59800.00;6000;9000;Sou Energy;https://www.souenergy.com.br/produtos/geradores
